time,cell0,cell1,cell2,cell3,cell4,cell5,acc_x,acc_y,acc_z,roll,pitch,yaw,latitude,longitude,satellites,speed,rpm_bl,rpm_br,rpm_fl,rpm_fr,steering,throttle
144,2.703508505,2.999431791,2.161324683,2.214433991,2.101559762,2.64690065,0.683128241,2.273490794,5.285396226,1.077892846,4.249613746,-65,34,34,3,13,896,1204,1687,162,1133,1071
144.5,3.061043909,2.991382102,3.882718738,2.7364338,2.929435028,3.33957667,1.860432815,3.427078249,3.418196936,0.263544224,4.953292959,-137,34,34,2,16,226,1581,526,603,1368,1421
145,3.323542372,2.091676898,2.248739171,2.278924983,3.669584376,3.850153935,1.376971474,4.985804931,0.342987373,3.024104804,4.399937885,-73,34,34,2,35,1864,687,1476,378,1512,1757
145.5,2.182014285,2.626389113,2.861176137,2.540489588,2.645554824,3.426336766,2.701656048,2.818101604,4.139987353,3.909891506,1.937225128,-142,34,34,3,21,1356,871,1617,1382,1238,1974
146,3.569344706,3.155375021,3.33086176,2.103914715,2.658521494,3.080094365,2.398678713,4.061698609,0.266475998,5.422119874,1.712012708,59,34,34,3,37,298,454,399,1130,1261,1049
146.5,2.799426093,3.033281232,3.65077436,2.707175289,2.285413515,2.068988557,0.363079533,0.738321478,2.008100565,1.171891194,3.500464335,92,34,34,1,45,2392,795,978,213,1091,1810
147,2.557168727,2.79677293,2.760239527,2.16829305,3.330795238,2.026192883,4.207720606,4.539609541,1.464160565,0.85778775,5.80243934,-26,34,34,3,25,427,479,1088,1747,1197,1257
147.5,2.870435789,3.54645433,3.34095241,2.79581137,3.618953195,2.346208319,0.795046027,3.813101311,1.718777926,3.729026236,4.218711604,-12,34,34,0,43,2229,280,225,517,1603,1597
148,2.089413316,3.620514563,2.329108733,3.793547242,3.745558702,3.041343208,0.727321655,3.132931794,2.347690555,3.156815567,0.03916838,-162,34,34,2,35,742,1341,1562,1988,1905,1388
148.5,3.763936756,3.329221418,3.056657284,2.248864237,2.412654662,3.45077969,4.092903922,3.018360231,2.936562644,4.51563358,1.507567859,-160,34,34,3,22,2003,1986,2202,558,1004,1727
149,3.717455485,2.115803588,3.35270488,3.337801898,2.778127027,2.828816608,1.238312154,4.843407296,5.773624422,4.886743715,4.030585907,-8,34,34,1,6,612,247,296,268,1642,1352
149.5,3.118319166,3.905723488,3.415486226,2.940921064,2.447623927,2.306528076,5.010058186,2.274649713,4.605874086,1.265425809,0.847786798,77,34,34,1,18,1405,90,910,1577,1645,1526
150,3.968816512,2.762631287,2.193535869,3.63306115,3.65951923,3.087727067,4.20736486,0.73596031,3.528809882,5.246813726,2.704942212,-59,34,34,0,23,465,1956,133,2039,1554,1155
150.5,2.097763725,3.649954926,2.758203071,2.791566657,2.919273957,3.852707938,4.157942711,2.128098541,0.585353815,4.313554585,1.098377961,57,34,34,2,31,344,449,2326,261,1451,1733
151,2.669530596,2.265005652,2.168014474,2.565946222,2.223331734,2.645171036,4.721926278,2.277019127,4.209678036,2.774001159,1.631574498,27,34,34,0,36,1592,2231,1382,37,1270,1748
151.5,2.502189363,3.751241986,2.34398633,3.90021167,2.400905803,3.154780775,0.03002301,0.480888995,1.188084711,0.403872254,4.407701758,171,34,34,0,22,2115,305,1601,1889,1651,1931
152,3.532081551,3.280968263,3.640151435,3.86494622,3.931150096,3.149823178,2.595615782,3.923620838,1.484088892,4.92284801,0.367407482,55,34,34,2,24,1267,2341,1785,52,1399,1227
152.5,3.528629335,2.060459486,3.470569186,2.197385567,3.316248107,3.580335116,5.171062352,5.362137948,0.292877786,0.308304877,1.666612631,22,34,34,3,32,2140,661,2393,2240,1411,1266
153,2.275540317,2.246794731,2.0424217,2.950781503,2.67241125,2.006362355,5.805429039,5.25364655,4.71087988,5.759818028,3.806935769,-15,34,34,3,21,419,1887,1891,1313,1533,1188
153.5,3.021124844,3.866330055,2.642661396,3.043172132,2.748271912,3.472565713,3.091796242,3.62699659,1.167230798,4.81454766,1.949564954,8,34,34,3,6,2080,1977,1969,707,1158,1507
154,3.709413504,3.090079786,2.823838486,2.711577035,3.455979839,3.506262379,4.741463436,0.085863765,1.066106921,2.344986054,0.975938903,93,34,34,3,2,207,1751,1785,1851,1042,1543
154.5,2.342856117,3.623936192,2.327732822,3.926162805,2.737109803,3.981182824,2.613321455,3.131139046,2.663279326,2.965228963,4.131795152,135,34,34,1,11,6,1663,9,2277,1813,1757
155,2.959516883,3.897623404,2.262545298,2.544373617,2.801902281,3.443241205,1.319516364,2.50580768,1.473447131,5.38758355,0.658979004,140,34,34,2,45,837,2220,2189,474,1826,1718
155.5,2.971683456,3.074075144,3.769390225,2.302969207,3.986268573,3.438372404,4.789537328,1.532208725,2.899749252,1.713671593,5.701441322,-110,34,34,2,19,1512,2235,1765,2083,1755,1765
156,2.081580044,3.726337137,3.649073525,3.999199035,3.444204649,2.912629858,3.084373897,1.050594042,0.370759758,4.710900055,2.354258101,48,34,34,1,23,407,2195,1271,1982,1227,1190
156.5,2.411377797,3.234337777,3.158278779,2.811738967,2.874547367,2.621547906,0.211092095,1.841355976,2.719131966,5.489641632,1.100623694,-125,34,34,1,15,1236,1820,331,192,1560,1086
157,2.212367975,3.498519553,2.985629008,2.478576016,2.287702548,3.601957035,4.394063874,0.229386968,1.453744627,1.70335007,1.974979201,124,34,34,3,28,1010,144,781,396,1116,1421
157.5,2.451210503,3.29137682,3.56623667,2.771757239,2.790791079,3.555753601,2.639572436,5.167681758,1.601902744,1.902964994,3.013152595,-171,34,34,2,37,2106,754,1377,2185,1844,1211
158,2.526496555,3.048321125,3.855332991,2.855174619,2.106795772,3.653244689,3.22001283,1.923701987,3.662101633,3.202707742,1.344340928,142,34,34,0,36,1305,1391,1631,176,1930,1309
158.5,2.599028769,3.235266776,3.685428883,2.785439823,3.726283221,2.892785824,2.071813779,1.012486028,4.652899417,0.051116685,4.873577026,8,34,34,2,36,1292,2204,980,655,1987,1282
159,3.372230708,2.92146684,3.585299335,2.937161647,3.797963411,2.95840095,2.879282973,3.763529686,5.278701717,3.653715074,2.601150828,43,34,34,1,29,1438,961,1031,2168,1082,1275
159.5,3.552779824,2.382586325,3.597772691,2.317880332,2.11757209,2.941593723,3.030564025,0.191616668,1.138546026,3.599568348,5.060099983,43,34,34,0,39,1854,2393,1872,374,1015,1206
160,2.003113917,2.938817009,2.805515077,3.858250318,3.663013038,3.292958318,3.490532468,3.03557732,3.941580823,2.191927809,3.871384215,38,34,34,3,0,1863,6,328,2212,1871,1151
160.5,3.99158201,2.101760807,3.291591763,2.375460023,2.688274441,3.157043898,5.27709697,0.442138789,5.113116657,5.014769967,1.408267223,62,34,34,3,23,590,2104,1315,2025,1515,1494
161,2.16959019,3.335122321,3.37612152,2.248330272,3.240664464,2.681505594,4.888535934,3.288770813,0.85391587,2.386293134,1.401794688,-66,34,34,2,0,968,1749,1864,2061,1224,1322
161.5,2.313114285,2.061037816,3.403481576,3.002853051,2.918357367,3.566309953,4.538423394,5.588856769,4.309930475,2.418812082,4.624974643,-138,34,34,1,11,177,106,63,645,1952,1673
162,3.037232426,2.493216496,2.916222724,3.993374227,3.093735278,2.950902222,0.522052536,5.261862242,5.116814586,1.621556301,2.999587771,-173,34,34,2,10,24,1217,409,153,1320,1589
162.5,3.310883274,2.655140612,2.473887614,2.574106697,3.069165587,3.620690523,0.286845976,5.704089425,5.268249877,1.743533288,2.136782724,-15,34,34,2,23,552,1695,1430,1113,1253,1607
163,2.178991114,2.248546853,2.426493778,2.662060862,3.429069319,3.692681874,1.524559845,0.267769526,1.44138551,5.622023732,4.113502878,-13,34,34,2,29,94,404,689,1067,1572,1018
163.5,3.024423039,2.408242499,3.826881575,2.271776358,3.522856267,3.388408591,2.278347235,5.450949686,1.677560892,5.043111702,1.457512899,81,34,34,0,19,638,1855,1487,2240,1430,1485
164,3.383623377,2.395780155,2.831932851,3.736386039,2.5545873,3.887870349,1.221123133,2.953443173,0.100415669,1.912130143,0.638376786,-36,34,34,0,37,1786,1276,1432,1115,1704,1579
164.5,2.416901113,3.992575507,2.599032941,2.229607039,3.756083985,2.614635827,0.682922765,1.834096724,4.430204133,3.643382868,0.831394886,80,34,34,3,32,2118,779,1535,1585,1114,1918
165,2.026121551,2.724997718,2.174055695,3.15540327,2.125572106,2.057968031,2.452797988,1.26951465,1.905510421,3.210165875,4.895251538,60,34,34,1,39,1540,190,386,916,1299,1440
165.5,3.629763266,2.845807413,2.514555073,2.525031318,2.23329768,2.866499171,5.407415177,5.454201018,4.379741804,4.86260845,4.182219043,135,34,34,1,22,968,824,265,499,1031,1391
166,3.208392848,2.862282342,2.720468722,2.809910244,3.873099475,3.045506509,4.297519665,2.667792884,4.144809213,1.328095115,5.457535788,17,34,34,1,3,2325,773,1004,1973,1908,1828
166.5,2.242841138,3.42314377,3.364115283,3.936625208,3.600491876,3.948429818,4.874994493,1.866263213,5.855569751,2.597287352,1.119947773,129,34,34,3,7,1940,58,282,888,1017,1429
167,3.552965017,3.398875171,2.118481559,2.124898588,2.233739606,2.863845139,0.697453673,2.706029817,5.905099093,4.565206619,0.164874561,-101,34,34,0,7,1272,2007,2292,2245,1602,1588
167.5,2.888818903,2.915052602,2.812279786,2.032879468,3.13039885,3.554171532,5.20487676,5.036882856,2.861279273,1.559529468,5.301401159,-135,34,34,2,1,1761,517,1936,1743,1010,1696
168,3.244845754,2.551425796,2.934428339,3.169891708,2.791294498,2.745157016,5.003244145,2.364263953,5.289430852,1.75680168,0.214520552,162,34,34,0,4,1714,635,688,715,1778,1077
168.5,2.846515609,2.953073922,2.611606436,3.331770862,3.868291048,3.982809188,2.108808058,2.513116678,1.613718944,3.010925208,4.419256213,-79,34,34,3,17,1921,982,2098,688,1505,1105
169,3.526700747,2.180533949,2.100754849,3.400377016,3.815666406,2.568633262,0.631898774,3.46699598,1.480216021,3.151250379,4.625423639,19,34,34,1,43,1679,1947,1501,2341,1648,1570
169.5,3.120661209,3.421331815,3.138836018,3.436578557,3.124332704,2.515389812,3.46574447,4.854416714,3.56558253,5.262251606,2.740216473,-176,34,34,3,15,168,604,774,358,1918,1275
170,2.41578788,2.944063649,2.55943705,3.568564332,3.206415716,2.970054614,4.815163039,0.448125811,2.11570471,3.829262834,0.575546527,153,34,34,3,5,1688,389,1416,1365,1738,1510
170.5,2.003480851,3.224130143,2.135903465,2.67577497,3.869237446,2.07362479,5.131213569,2.601410271,3.449024773,2.540322446,4.38499927,-43,34,34,2,2,1478,254,1149,727,1575,1643
171,2.883573188,3.869992043,2.834601664,2.322558611,3.285090084,2.624830361,0.122435611,1.035831345,1.595150247,2.370891124,5.2783989,140,34,34,1,43,961,1389,2015,35,1273,1501
171.5,2.589481505,2.156490959,3.113779537,3.9245491,2.498704791,2.039553288,0.798533315,4.612058687,3.945579264,3.275509402,1.360648796,-4,34,34,0,19,1625,1276,1969,2167,1225,1392
172,3.222762225,3.148576844,2.828479287,3.410035832,3.620368395,3.792109978,3.230665889,1.661556469,2.520202372,3.352932991,4.982677057,-103,34,34,0,5,273,282,513,342,1238,1942
172.5,2.022204833,2.50452112,3.341871435,2.67635952,2.747530272,2.408607026,1.370980291,2.225571972,2.197497233,5.119404841,0.262925092,-163,34,34,0,22,2242,1617,621,1207,1021,1515
173,2.780397296,3.930603953,2.854797082,3.424732278,3.596128415,2.312936957,3.839983751,4.008739343,1.30251994,0.328322713,5.125623777,-37,34,34,2,20,1832,2022,993,920,1202,1052
173.5,3.112014308,2.625802835,3.589848908,2.579377117,2.06036739,3.979296312,5.918230182,2.299644269,4.017260366,3.834068249,1.624326641,35,34,34,0,9,1020,264,2154,1625,1202,1917
174,3.568635528,3.463410327,3.856325907,2.880869695,2.450056267,2.735530648,1.665333416,4.198048217,4.173540096,1.059562401,5.277869359,149,34,34,2,17,358,143,1106,835,1699,1712
174.5,2.518145355,3.916883603,2.194422297,3.939511894,2.047383451,2.72596809,1.999444406,1.271209283,3.719529019,0.087445727,1.778635073,19,34,34,2,27,2116,1097,360,1731,1579,1384
175,2.841796422,3.598483801,3.784321471,2.918730537,3.050239771,3.084337649,4.223630307,4.810022317,4.153641792,4.593753551,4.091904633,-28,34,34,3,17,1161,327,1747,1254,1334,1036
175.5,2.702950456,2.866874916,3.065188003,3.253109062,3.29118482,3.796297658,2.87933171,2.884145447,4.63233457,5.902063105,4.101331366,134,34,34,1,8,1264,431,1749,1752,1385,1544
176,3.638682921,3.03543354,2.589627569,3.241173093,2.599689797,2.503461194,4.120172769,4.28327601,4.789530579,2.346819951,0.151382712,-72,34,34,3,41,746,2356,1501,2300,1002,1070
176.5,2.092607302,3.473248418,2.575222172,3.254635152,3.927438395,2.811013162,4.085104245,4.692112256,3.617516783,2.582471473,3.806484016,29,34,34,2,26,697,2045,591,1837,1821,1010
177,3.589637564,2.475034135,2.898486806,3.574387523,2.45352701,3.340354779,5.566861671,4.265389003,3.107612097,1.880109552,0.277015508,-34,34,34,0,16,1892,1260,866,2059,1688,1644
177.5,3.93440756,2.664331246,2.808219919,2.235835795,2.483850624,3.405483129,1.085231795,5.351636548,4.598313309,0.991680422,0.19048332,174,34,34,2,4,170,1774,1016,440,1990,1060
178,2.891634595,3.795359562,2.664398561,3.520805986,2.525537355,2.11744568,1.353784665,5.572746229,3.227784852,2.776329152,2.239342605,146,34,34,0,8,801,541,1612,1674,1933,1326
178.5,2.656355822,3.432376102,2.875104088,3.96317432,2.141312201,2.039282098,3.641235452,1.555325241,3.791788783,4.429813296,2.429105261,149,34,34,2,1,2036,22,4,160,1908,1112
179,2.372507769,3.833325616,3.742280545,2.923433488,3.878472779,2.373916622,2.804218862,4.831531752,2.372883423,3.0351602,3.459305796,117,34,34,2,35,1382,708,195,618,1152,1932
179.5,2.688600667,2.891682283,3.654921457,2.94344366,3.943001991,2.178222997,1.262201676,2.63131633,2.540235351,5.587019541,5.741768766,-80,34,34,0,21,591,1932,1276,1793,1978,1633
180,2.162100394,3.846611665,3.578120794,3.037464993,3.816781826,2.031067986,0.686143958,5.710373965,1.813036281,0.599689438,1.731597267,-20,34,34,0,10,1460,1666,425,1170,1110,1707
180.5,3.416281698,2.401471551,3.814869088,2.581927888,2.925963765,2.797907151,1.121239476,1.587688346,4.71146661,4.960898426,0.138545622,-35,34,34,2,35,1147,2393,762,1010,1676,1405
181,2.478375399,3.328280897,3.85780379,2.760538552,2.114732855,3.884490156,2.560114515,4.800201582,4.930499849,1.703380957,2.300891424,117,34,34,3,33,1791,925,2057,1278,1966,1610
181.5,2.858643988,3.278048272,3.185327473,2.402099689,2.880643089,2.216023572,2.549867401,1.180844087,2.192371505,2.41333105,0.225096777,-164,34,34,0,33,1008,934,50,1878,1587,1725
182,2.560392491,2.916261307,3.809769127,2.336516064,2.602418443,2.528233634,4.926781516,2.327299624,4.583967004,4.592807919,0.078687697,59,34,34,0,31,2345,668,2042,1105,1369,1890
182.5,2.224304422,3.51671156,3.640417879,3.011729282,2.944756248,2.766446792,0.162924751,1.673592472,1.385989318,5.242983552,1.680484643,56,34,34,0,19,1502,2018,2071,1689,1535,1730
183,2.125781231,2.082086384,3.214784242,3.378658352,3.957739833,3.882404658,2.52342782,0.29507613,5.85320802,0.900792587,0.718387486,37,34,34,3,12,2066,1499,91,251,2000,1553
183.5,3.412914144,3.480479721,3.686074278,3.24383677,2.282289544,2.948632851,2.459773429,0.777616254,3.463779357,0.343650677,1.304886534,-142,34,34,1,1,102,1596,274,1075,1584,1552
184,2.968108543,3.891387078,2.854389263,3.042592919,2.187501798,2.266470615,5.06747732,3.407914224,4.107099582,3.002282628,4.986095185,49,34,34,1,23,1458,482,1393,2318,1285,1063
184.5,3.869026986,3.892729136,3.00780435,2.758010262,2.449910317,3.373539113,1.110723,1.947215837,0.066884827,1.33534691,5.820610604,-119,34,34,1,29,717,940,1541,773,1298,1569
185,3.870802231,3.954342897,3.382636822,2.887577156,2.475869295,2.868973199,1.006050226,5.607739565,5.120217979,0.105073019,5.045071168,-150,34,34,0,6,1673,236,37,2102,1689,1052
185.5,2.284693673,2.437513917,3.308064751,3.326409188,2.232557355,2.760904813,4.776676156,2.876787659,1.484604738,5.885463553,1.038619036,-27,34,34,3,22,2322,1845,588,2399,1025,1885
186,3.122018469,3.130360424,2.871599473,3.44173296,2.542499162,3.887724618,1.803736513,2.472830325,2.814401674,2.401581191,5.89184453,-146,34,34,1,11,610,1304,238,1647,1652,1922
186.5,3.811381878,3.98283436,3.518709315,2.648543953,3.663686306,3.08801724,3.889004953,3.991939313,5.03190836,5.102810854,5.492760358,-163,34,34,0,2,1071,359,1062,1663,1729,1313
187,3.176634438,2.034151183,3.493395561,3.074306889,3.98949818,3.012866914,2.988851269,0.273875395,5.934057901,3.179373413,1.962367092,42,34,34,2,14,1626,1925,1756,1254,1344,1176
187.5,2.084268356,3.009181703,3.2639109,3.378623011,3.411650062,2.046368681,2.887474846,0.966644398,2.083512318,3.775474423,0.574024271,-74,34,34,1,21,1623,264,1958,48,1404,1422
188,3.22376165,2.254824537,2.571466876,3.8173958,2.146156809,3.858671146,1.105026978,3.185880623,3.792996041,2.859436991,1.545610843,-41,34,34,1,36,842,713,1222,1944,1591,1905
188.5,2.48319939,2.269128334,3.542920746,2.031580259,2.419916359,3.318272405,1.999036853,5.535029977,5.110868137,3.500373003,4.190202109,4,34,34,1,37,422,240,2137,1608,1814,1010
189,2.395467325,2.835754461,3.420987783,2.946099633,2.516585503,3.741857371,2.271871779,4.60544597,0.956194175,0.703605937,1.105535518,-20,34,34,0,28,626,76,411,139,1122,1553
189.5,2.000805299,2.523264963,3.082058818,2.959001208,3.29329346,3.219049631,2.575664768,3.549454004,3.095648973,5.364014774,3.861213883,-111,34,34,1,3,1583,162,199,224,1911,1905
190,2.3250672,2.193087518,2.62583887,2.410664574,3.668954874,3.70219786,3.173188599,4.454529615,1.338369327,2.89437277,1.183031782,-43,34,34,0,32,1514,2068,528,2038,1570,1530
190.5,2.81736162,3.6755158,2.851686976,2.489046401,3.06164613,2.970646886,4.002025966,0.768533957,4.649889844,2.631355136,5.422437244,161,34,34,2,10,517,177,1195,943,1235,1277
191,2.538764643,2.337244276,3.278069047,3.125273648,3.111668195,2.650797144,0.923474767,1.251265121,3.282188325,3.419290009,0.12388728,123,34,34,3,39,1748,100,2244,69,1989,1012
191.5,3.330431148,2.363210626,3.482435317,2.434103022,2.530083583,2.708988555,4.801160006,1.785948556,0.709476834,2.490582687,3.985602351,-174,34,34,2,11,1907,1524,60,1478,1303,1774
192,2.34527589,3.004387426,2.273331841,2.780053173,2.882825021,2.911120241,1.73796834,2.314589324,2.792853271,1.814608111,2.402986992,-55,34,34,2,29,572,599,1412,1531,1002,1722
192.5,3.085910521,2.025408558,3.26023034,3.144267711,3.744422819,3.283528389,2.69691538,1.580734034,2.15258356,5.463002422,3.758089441,83,34,34,3,21,1943,2338,541,1419,1720,1554
193,3.963576755,2.867864158,2.464495799,2.360269818,2.141653002,3.325704177,5.569377168,5.581253346,5.230835801,5.997062354,0.850943591,-136,34,34,3,12,1553,1361,1776,1432,1695,1595
193.5,2.634404537,2.810096301,2.878364985,2.424439871,2.446577386,3.25875373,0.12708817,5.653398408,1.165120321,3.463584772,3.533387421,0,34,34,0,33,1647,80,1075,491,1053,1822
194,3.187136976,2.561856908,2.473443905,2.460153016,3.123710077,2.738782191,4.283799068,0.730278096,4.494531604,2.715413684,2.9737113,-9,34,34,1,3,123,2367,1120,1168,1662,1102
194.5,3.806628953,2.041264003,3.765034067,2.298173715,2.259180908,2.036491484,3.023057978,2.680292452,4.91097538,3.518482608,5.47402223,84,34,34,1,3,696,1898,1543,1594,1211,1164
195,3.260029247,2.450128065,2.051461936,3.564053904,3.02378622,3.473328223,4.041560815,5.209210755,2.76728985,2.512497446,2.551998321,-7,34,34,1,12,9,1527,1247,1319,1709,1628
195.5,2.391860157,2.427927236,2.974590817,2.853484414,3.629629392,2.096859073,0.582022177,0.889492322,2.932524738,1.327839277,3.261820228,-31,34,34,0,10,716,441,2332,1533,1584,1252
196,2.082656134,2.748135737,3.380856835,2.305076737,3.861431451,2.951773074,1.815419069,0.059496463,0.040480329,1.695091985,0.929205377,128,34,34,1,39,1462,166,860,2328,1536,1208
196.5,3.645142797,3.782843331,2.764613633,2.455961168,2.490282357,3.51839227,4.956941797,3.780218258,4.128376879,0.175650102,3.413868561,-77,34,34,3,35,867,696,191,2240,1530,1784
197,3.703680273,2.674693955,3.320566732,3.018939532,2.208697758,2.987801772,0.586333348,1.141829532,3.815159056,3.050420043,1.006018721,129,34,34,3,5,1756,1648,1759,573,1203,1995
197.5,2.685080268,3.964941183,3.489324634,3.403486245,2.569907874,3.053858702,0.325260429,3.309537319,2.033675503,1.249910978,5.12470891,6,34,34,1,2,499,2205,604,1051,1275,1032
198,3.119920072,2.27805554,3.336119724,2.726111112,3.912398134,2.601891701,3.619680541,1.053926697,5.956236585,2.757770957,4.91744917,47,34,34,1,10,958,1503,1743,1435,1543,1928
198.5,2.728521885,2.398704454,2.705370207,3.204489829,2.842384549,2.475430819,3.274448881,3.35759633,5.339860109,3.70074359,1.907293747,59,34,34,0,30,1860,1350,1435,464,1506,1391
199,3.41712794,2.476672862,2.739794416,3.535287283,2.784238046,2.371862745,4.752191653,1.017160376,0.67676291,3.005201924,5.618907128,160,34,34,2,16,812,741,1658,144,1161,1892
199.5,2.804800298,2.173663003,3.745769355,2.462313078,3.560768411,3.836812066,1.905113424,1.222482655,2.3440909,5.461818245,5.482938458,85,34,34,2,28,1525,1659,2080,1478,1121,1766
200,2.280674773,3.101619967,2.61855939,3.413871488,3.400926657,3.881671864,0.578803798,2.436822335,4.418915422,5.149871506,3.424660454,49,34,34,0,25,2107,470,2107,90,1264,1447
200.5,3.457395683,3.743605075,2.707421756,3.841484311,2.464608423,2.422276273,2.298748594,2.927319003,4.543699389,0.954960428,0.25838772,1,34,34,1,18,2397,939,805,1343,1473,1665
201,3.433589856,3.215568603,3.667441906,2.437162621,3.214787939,3.962130195,0.340274458,5.216007589,1.940131165,3.095163865,3.40334552,6,34,34,0,17,349,1901,351,2004,1922,1274
201.5,2.557733479,2.28955516,2.362217809,3.40402627,2.605991652,2.096750301,4.721401844,1.288705873,0.932607921,1.220155255,0.296959802,-8,34,34,0,34,1270,1235,1717,658,1446,1079
202,3.538562068,3.951226439,2.140744655,2.665650161,3.548251326,3.681579282,4.438793146,1.573702669,0.807386191,1.949608644,3.245639445,-28,34,34,0,36,1650,843,1735,623,1869,1269
202.5,2.323539392,2.369932729,3.40781409,2.443526056,2.226958749,3.848608509,3.635975218,2.5913441,3.908160617,3.981193082,0.116172281,76,34,34,1,25,2250,1845,1126,914,1305,1541
203,2.656681894,3.726987957,2.690103897,2.153447567,2.232689128,3.638717929,4.080185964,2.532390705,5.995210049,0.028731593,0.138414492,142,34,34,2,19,2285,57,777,101,1481,1403
203.5,2.584775071,2.145932379,2.282243858,3.07609824,2.442532205,3.132735936,2.572765151,2.119411905,3.05502411,3.700335297,3.204549461,-79,34,34,1,21,249,482,2140,254,1290,1122
204,2.287889087,3.515980765,2.684881485,2.774572864,3.599937708,2.915926065,5.040638761,5.31724182,2.78378658,5.626403908,2.629747233,77,34,34,0,45,200,2377,906,452,1978,1833
204.5,2.865387272,2.19870436,2.772308392,3.942765758,2.566004944,2.628303151,0.794493648,2.047213689,1.421434278,0.36785549,3.205798557,-174,34,34,0,3,784,1149,2009,2319,1355,1266
205,3.144475207,2.999156887,3.402694624,3.047360791,3.285345464,2.238216621,4.944835144,5.606299231,4.729883235,3.911513945,5.55771297,57,34,34,2,0,710,15,783,2264,1968,1309
205.5,2.626564066,3.821583097,3.115322095,3.176526602,3.742520893,3.001882571,3.952363636,2.084471137,3.435025179,0.611115351,4.58130807,80,34,34,3,22,1477,1322,965,66,1607,1521
206,2.487768296,3.410056684,3.331791232,2.678397006,2.469617749,3.66179103,0.107099522,5.944644919,2.438366438,4.788030987,4.231110512,-170,34,34,2,24,198,1969,2276,636,1666,1976
206.5,3.679907973,3.669137934,2.301030582,2.917286906,3.651589237,2.670170142,2.039311328,2.423866185,0.671007606,2.394684088,3.928187184,-4,34,34,2,12,169,2294,398,532,1500,1706
207,3.155893059,2.432833188,3.103644392,3.32734462,2.812655478,2.35720003,5.052051583,0.608039227,1.848672474,2.365530993,0.826605061,31,34,34,3,34,531,1444,110,786,1768,1270
207.5,2.801470475,3.507475468,2.278118285,3.277196791,2.134309358,2.481970542,2.642457867,1.512677598,1.328114862,3.927027229,1.055051754,14,34,34,3,15,133,1819,1728,816,1777,1203
208,3.493796296,2.007392841,2.197134424,3.799309308,3.997661184,2.495580993,3.094591785,5.026096682,3.614406493,3.72775763,2.590697646,107,34,34,3,28,609,1095,198,1683,1640,1778
208.5,2.40080539,2.287994509,2.978174296,3.678403788,3.924676089,3.847885023,0.292252796,2.789470717,0.869198237,4.695488732,1.7300507,47,34,34,3,8,1909,896,497,1131,1458,1004
209,2.481209691,2.184985976,2.491865421,2.042432324,3.81473235,2.564805247,3.548194855,0.24083452,3.439215461,2.989675996,2.984532507,62,34,34,3,0,1038,1358,546,1365,1875,1257
209.5,3.793328339,3.572795257,2.212386911,3.010201963,2.082949297,2.756039488,5.785398264,5.71369096,5.20144761,5.132655565,5.530355012,124,34,34,0,39,122,1080,2055,1297,1104,1901
210,3.981753786,2.772952901,2.208613321,2.975477726,2.376236717,2.100195998,2.831950474,5.313934234,2.976994626,1.886567048,2.623384026,-12,34,34,2,19,966,637,1588,1836,1320,1774
210.5,3.323747106,2.993624828,2.432661326,2.723467483,2.156564627,2.115073435,2.890235559,5.118944632,0.152633036,3.283673461,1.130692263,-152,34,34,0,11,1131,499,1070,521,1546,1879
211,2.502208367,3.4855504,3.369481429,3.916414624,3.585391314,3.423336088,5.165721334,0.104539927,5.57181445,0.958038609,0.760134937,-125,34,34,2,13,868,2017,241,1695,1083,1112
211.5,2.914833246,3.982201277,2.174417905,3.510829748,3.165389206,3.612021858,3.122872882,2.985281554,1.753059491,4.512484456,5.518467107,147,34,34,1,15,1795,1499,1905,678,1693,1374
212,3.112887576,2.802841681,2.972677296,3.003292387,2.115127389,2.710328121,4.258497851,5.285906045,2.30658611,0.157373736,5.781942366,87,34,34,2,19,2308,729,1280,199,1029,1031
212.5,2.777927948,3.36509934,2.302610846,3.945409787,2.281028357,2.10130321,1.736966814,0.004175571,3.700468364,1.043335782,5.331374317,42,34,34,1,40,1123,105,1123,1943,1456,1626
213,2.820946097,2.599620887,3.478596767,3.280603232,3.663265778,2.599479262,0.677761843,4.641071507,2.20020026,4.924311895,3.641326098,-38,34,34,3,12,575,1361,1256,473,1125,1050
213.5,2.918217558,2.18591494,2.604740091,2.912578906,2.72813323,3.923693845,1.00482385,4.048331007,5.54865265,2.441206382,5.220296202,-65,34,34,1,29,87,804,846,283,1558,1931
214,3.463186869,2.019591608,3.913299145,2.100862603,2.443343775,3.971285097,1.27046893,2.126073208,5.482452238,5.826058565,2.980940574,154,34,34,3,34,508,464,787,2374,1134,1275
214.5,2.50505357,3.465473178,2.405258101,3.565724109,3.878637584,3.916260096,0.914285942,4.021845903,1.459902144,1.785903853,0.629598971,135,34,34,2,31,1198,696,731,2380,1120,1623
215,2.776165063,3.499541056,2.974639981,3.172026083,2.003817478,2.866440484,5.767312836,5.780969209,1.880446414,5.704776512,4.854288991,66,34,34,2,40,734,1086,562,91,1945,1820
215.5,3.841186225,3.301022932,3.196570801,2.554692218,3.520177674,2.44703457,4.450065684,1.226063991,5.465390697,4.34543227,2.923111043,120,34,34,2,0,1551,2200,495,1237,1166,1871
216,3.881612032,2.465312366,3.449314455,3.373035012,2.203719834,3.033368355,1.206539465,5.279035963,1.845129581,3.493183449,0.666934552,28,34,34,0,8,1899,2378,1137,1818,1602,1978
